date,natal_planet,transiting_planet,aspect,orb,natal_longitude,transit_longitude
2023-06-29,Sun,Moon,Sextile,1.22,283.5142,224.73644357011676
2023-06-29,Sun,Venus,Bi-Quintile,0.29,283.5142,139.8024345521999
2023-06-29,Moon,Sun,Square,2.96,4.5532,97.51349559396691
2023-06-29,Moon,Mercury,Square,0.85,4.5532,95.40754108081241
2023-06-29,Moon,Venus,Sesquiquadrate,0.25,4.5532,139.8024345521999
2023-06-29,Venus,Pluto,Semi-Sextile,0.61,330.2555,299.6480768276254
2023-06-29,Mars,Sun,Opposition,1.91,275.6008,97.51349559396691
2023-06-29,Mars,Mercury,Opposition,0.19,275.6008,95.40754108081241
2023-06-29,Mars,Venus,Sesquiquadrate,0.8,275.6008,139.8024345521999
2023-06-29,Mars,Saturn,Sextile,1.5,275.6008,337.0966414155341
2023-06-29,Mars,Uranus,Sesquiquadrate,1.04,275.6008,51.63716714119648
2023-06-29,Jupiter,Neptune,Sextile,1.87,299.5608,357.6864478217171
2023-06-29,Jupiter,Pluto,Conjunction,0.09,299.5608,299.6480768276254
2023-06-29,Saturn,Venus,Semi-Sextile,1.96,171.7586,139.8024345521999
2023-06-29,Saturn,Mars,Semi-Sextile,1.6,171.7586,143.36179867469602
2023-06-29,Saturn,Uranus,Trine,0.12,171.7586,51.63716714119648
2023-06-29,Uranus,Venus,Quincunx,0.48,349.3182,139.8024345521999
2023-06-29,Neptune,Sun,Sesquiquadrate,0.0,322.517,97.51349559396691
2023-06-29,Neptune,Venus,Opposition,2.71,322.517,139.8024345521999
2023-06-29,Neptune,Mars,Opposition,0.84,322.517,143.36179867469602
2023-06-29,Neptune,Uranus,Square,0.88,322.517,51.63716714119648
2023-06-29,Pluto,Moon,Semi-Square,1.62,271.3559,224.73644357011676
2023-06-29,North Node (Mean),Mercury,Bi-Quintile,0.59,310.8165,95.40754108081241
2023-06-29,North Node (Mean),Jupiter,Square,1.8,310.8165,39.0201643057295
2023-06-29,North Node (Mean),Neptune,Semi-Square,1.87,310.8165,357.6864478217171
2023-06-30,Sun,Moon,Semi-Square,0.23,283.5142,238.27942216294093
2023-06-30,Sun,Venus,Bi-Quintile,0.94,283.5142,140.45664285024185
2023-06-30,Moon,Venus,Sesquiquadrate,0.9,4.5532,140.45664285024185
2023-06-30,Venus,Moon,Square,1.98,330.2555,238.27942216294093
2023-06-30,Venus,Pluto,Semi-Sextile,0.63,330.2555,299.62641886672293
2023-06-30,Mars,Sun,Opposition,2.87,275.6008,98.4667812590748
2023-06-30,Mars,Mercury,Opposition,1.99,275.6008,97.59162368885444
2023-06-30,Mars,Venus,Sesquiquadrate,0.14,275.6008,140.45664285024185
2023-06-30,Mars,Saturn,Sextile,1.48,275.6008,337.0766684654228
2023-06-30,Mars,Uranus,Sesquiquadrate,1.08,275.6008,51.68108982450146
2023-06-30,Jupiter,Moon,Sextile,1.28,299.5608,238.27942216294093
2023-06-30,Jupiter,Neptune,Sextile,1.87,299.5608,357.686907118424
2023-06-30,Jupiter,Pluto,Conjunction,0.07,299.5608,299.62641886672293
2023-06-30,Saturn,Sun,Quintile,1.29,171.7586,98.4667812590748
2023-06-30,Saturn,Venus,Semi-Sextile,1.3,171.7586,140.45664285024185
2023-06-30,Saturn,Uranus,Trine,0.08,171.7586,51.68108982450146
2023-06-30,Uranus,Venus,Quincunx,1.14,349.3182,140.45664285024185
2023-06-30,Neptune,Sun,Sesquiquadrate,0.95,322.517,98.4667812590748
2023-06-30,Neptune,Mercury,Sesquiquadrate,0.07,322.517,97.59162368885444
2023-06-30,Neptune,Venus,Opposition,2.06,322.517,140.45664285024185
2023-06-30,Neptune,Mars,Opposition,1.45,322.517,143.96280332994166
2023-06-30,Neptune,Uranus,Square,0.84,322.517,51.68108982450146
2023-06-30,North Node (Mean),Moon,Quintile,0.54,310.8165,238.27942216294093
2023-06-30,North Node (Mean),Jupiter,Square,1.62,310.8165,39.19547542118268
2023-06-30,North Node (Mean),Neptune,Semi-Square,1.87,310.8165,357.686907118424
2023-07-01,Sun,Moon,Semi-Sextile,1.22,283.5142,252.2904612494248
2023-07-01,Sun,Venus,Bi-Quintile,1.58,283.5142,141.09190504104495
2023-07-01,Moon,Venus,Sesquiquadrate,1.54,4.5532,141.09190504104495
2023-07-01,Venus,Pluto,Semi-Sextile,0.65,330.2555,299.60459773793497
2023-07-01,Mars,Venus,Sesquiquadrate,0.49,275.6008,141.09190504104495
2023-07-01,Mars,Saturn,Sextile,1.45,275.6008,337.0551410989297
2023-07-01,Mars,Uranus,Sesquiquadrate,1.12,275.6008,51.72449641600853
2023-07-01,Jupiter,Neptune,Sextile,1.87,299.5608,357.686844210876
2023-07-01,Jupiter,Pluto,Conjunction,0.04,299.5608,299.60459773793497
2023-07-01,Saturn,Sun,Quintile,0.34,171.7586,99.41998191670757
2023-07-01,Saturn,Mercury,Quintile,0.01,171.7586,99.77264252165982
2023-07-01,Saturn,Venus,Semi-Sextile,0.67,171.7586,141.09190504104495
2023-07-01,Saturn,Uranus,Trine,0.03,171.7586,51.72449641600853
2023-07-01,Uranus,Venus,Quincunx,1.77,349.3182,141.09190504104495
2023-07-01,Neptune,Sun,Sesquiquadrate,1.9,322.517,99.41998191670757
2023-07-01,Neptune,Moon,Quintile,1.77,322.517,252.2904612494248
2023-07-01,Neptune,Venus,Opposition,1.43,322.517,141.09190504104495
2023-07-01,Neptune,Mars,Opposition,2.05,322.517,144.56446013775755
2023-07-01,Neptune,Uranus,Square,0.79,322.517,51.72449641600853
2023-07-01,North Node (Mean),Sun,Quincunx,1.4,310.8165,99.41998191670757
2023-07-01,North Node (Mean),Moon,Sextile,1.47,310.8165,252.2904612494248
