"Artist","Title","Version","Year","Duration","ISRC","Explicit","Release","Release Label","Release Date","Release Artist","UPC"
"Metallica","Master of Puppets","","","","USQY51291582","","","","","",""
"Metallica","Master of Puppets","Live At Hammersmith Odeon, London, England / October 10th, 1988","2018","7:37","QMKHM1700201","Explicit","","","","",""
"Metallica","Master Of Puppets","Fan Recording / Live At Solnahallen, Stockholm, Sweden / September 26th, 1986","2017","7:40","QMKHM1600357","","","","","",""
"Metallica","Master Of Puppets","Live At Hampton Coliseum, Hampton, Va / August 3rd, 1986","2017","7:59","QMKHM1600302","Explicit","","","","",""
"Metallica","Master Of Puppets","Liveversion ♦ Stereoversion","2020","8:00","QMKHM1900430","","","","","",""
"Metallica","Master Of Puppets","Live From Sofia, Bulgaria","","8:06","GBUM71027170","","","","","",""
"Metallica","Master Of Puppets","Live At Aichi Kinro Kaikan, Nagoya, Japan / November 17th, 1986","2017","8:10","QMKHM1700062","Explicit","","","","",""
"Metallica","Master Of Puppets","Live At Roskilde Festival, Festivalpladsen, Roskilde, Denmark / July 6th, 1986","2017","8:24","QMKHM1700047","","","","","",""
"Metallica","Master Of Puppets","Live At The Meadowlands, East Rutherford, Nj / April 21st, 1986","2017","8:42","QMKHM1600281","Explicit","","","","",""
"Metallica","Master Of Puppets","Mid-june 1985 Demo","2017","8:44","QMKHM1600431","","","","","",""
"Metallica","Master Of Puppets","Video - Live In Seattle 1989","1993","8:47","GBJ330300431","","","","","",""
"Metallica","Master of Puppets","Live / Seattle '89","2018","8:51","QMKHM1700153","Explicit","","","","",""
"Metallica","Master of Puppets","Live At The Troubadour, West Hollywood, Ca / May 24th, 1988","2018","9:01","QMKHM1700178","Explicit","","","","",""
"Metallica","Master Of Puppets","Live From Mexico City, August 2009","2009","9:21","GBUV70906341","","","","","",""
"Metallica","Master of Puppets","Live At Shoreline Amphitheatre, Mountain View, Ca / September 15th, 1989","2018","10:22","QMKHM1700330","","","","","",""
"Metallica","Master Of Puppets","Video - Live In San Diego 1992","1993","5:29","GBJ330300430","","","","","",""
"Metallica","Master of Puppets","Live At Tushino Airfield, Moscow, Russia / September 28th, 1991","2021","4:15","QMKHM1900024","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Donington Park, Castle Donington, England / 26th August 1995","2025","3:59","QMKHM2400129","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Slim's, San Francisco, Ca / 10th June 1996","2025","3:59","QMKHM2400167","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Day On The Green, Oakland, Ca / October 12th, 1991","2021","4:04","QMKHM1900141","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Oslo Spektrum, Oslo, Norway / 23rd November 1996","2025","3:44","QMKHM2400198","Explicit","","","","",""
"Metallica","Master Of Puppets","Mid-june 1985 / Writing In Progress","2017","1:31","QMKHM1600429","","","","","",""
"Metallica","Master Of Puppets","1985 / From James' Riff Tapes","2017","1:40","QMKHM1600411","","","","","",""
"Metallica","Master of Puppets","","","","USA2P1218886","","Rock Legacy Hits - Metallica","Rock Legacy Hits","2012-07-23","Metallica","887158159428"
"Metallica","Master Of Puppets","Previously Unreleased Live Version","2005","","USEE10503283","","Fan Can 5","Elektra Records","","Metallica","093624940722"
"Metallica","Master Of Puppets","Lp Version","1988","","USEV19900002","","Master Of Puppets","Elektra Asylum","","Metallica","075596043922"
"Metallica","Master Of Puppets","Lp Version","1988","","USEV19900002","","Master Of Puppets","Elektra Records","","Metallica","075596043960"
"Metallica","Master Of Puppets","Lp Version","1988","","USEV19900002","","Master Of Puppets","Elektra Records","","Metallica","093624441267"
"Metallica","Master Of Puppets","Lp Version","1988","","USEV19900002","","The Metallica Collection","Warner Bros. Inc.","","Metallica","093624979364"
"Metallica","Master Of Puppets","Lp Version","1988","","USEV19900002","","Master Of Puppets","Warner Bros. Inc.","","Metallica","093624986577"
"Metallica","Master Of Puppets","Live With The Sfso","2000","","USEV19900031","","S&M","Elektra Records","","Metallica","075596246323"
"Metallica","Master Of Puppets","Live With The Sfso","2000","","USEV19900031","","S&M","Elektra Records","","Metallica","075596246361"
"Metallica","Master Of Puppets","Live With The Sfso","2000","","USEV19900031","","The Metallica Collection","Warner Bros. Inc.","","Metallica","093624979364"
"Metallica","Master Of Puppets","Live With The Sfso","2000","","USEV19900031","","S&M","Warner Bros. Inc.","","Metallica","093624986515"
"Metallica","Master Of Puppets","Live With The Sfso","2000","","USEV19900031","","Garage, Inc.","Warner Bros. Inc.","","Metallica","093624986522"
"Metallica","Master Of Puppets","Live With The Sfso Clean Version","2000","","USEV19900056","","S&M","Elektra Records","","Metallica","075596250429"
"Metallica","Master Of Puppets","Live With The Sfso Clean Version","2000","","USEV19900056","","S&M","Elektra Records","","Metallica","075596250467"
"Metallica","Master Of Puppets","Live, London, 8/23/1995","","","USWB10803195","","London Astoria, II, London, UK 8/23/1995","Warner Bros. Inc.","","Metallica","093624984597"
"Metallica","Master Of Puppets","Live, Mansfield, 7/19/1998","","","USWB10803882","","Great Woods Center, Mansfield, MA 7/19/1998","Warner Bros. Inc.","","Metallica","093624984559"
"Metallica","Master Of Puppets","Live, Orlando, 7/13/2003","","","USWB10804900","","Citrus Bowl, Orlando, FL 7/13/2003","Warner Bros. Label","","Metallica","093624984535"
"Metallica","Master Of Puppets","Francais Pour Une Nuit","2009","7:58","GBUV70906502","","Francais Pour Une Nuits","Vertigo","","Metallica","602527208299"
"Metallica","Master Of Puppets","Francais Pour Une Nuit","2009","7:58","GBUV70906502","","Francais Pour Une Nuits","Vertigo","","Metallica","602527208312"
"Metallica","Master Of Puppets","Francais Pour Une Nuit - Surround Sound","2009","7:58","GBUV70906503","","Francais Pour Une Nuits","Vertigo","","Metallica","602527208299"
"Metallica","Master Of Puppets","Francais Pour Une Nuit - Surround Sound","2009","7:58","GBUV70906503","","Francais Pour Une Nuits","Vertigo","","Metallica","602527208312"
"Metallica","Master Of Puppets","Live From Brisbane","2010","8:22","GBUM71029535","","Six Feet Down Under Part 2","Blackened Recordings / Universal Music","","Metallica","602435207629"
"Metallica","Master Of Puppets","Live From Brisbane","2010","8:22","GBUM71029535","","Six Feet Down Under EP","Vertigo","","Metallica","602527570945"
"Metallica","Master of Puppets","","2016","3:30","ITL771653322","","Milton Keynes Festival, June 5th, 1993 (Remastered, Live On Broadcasting)","Lilith Records","2016-08-16","Metallica","5056052783687"
"Metallica","Master of Puppets","","2016","7:24","ITL771548002","","The Market Square Arena, Indianapolis, November 24th, 1988 (Remastered) [Live on Fm Broadcasting)","Lilith Records","2016-01-25","Metallica","5055946786780"
